Time (s),Amplitude
3.4473684210526313e-08,100000000.82800883
3.4605263157894736e-08,100000000.82334496
3.473684210526316e-08,100000000.81862481
3.486842105263158e-08,100000000.81384872
3.5e-08,100000000.80901699
3.513157894736842e-08,100000000.80412997
3.526315789473684e-08,100000000.799188
3.539473684210526e-08,100000000.79419139
3.5526315789473685e-08,100000000.78914051
3.565789473684211e-08,100000000.78403568
3.578947368421053e-08,100000000.77887727
3.5921052631578945e-08,100000000.77366564
3.605263157894737e-08,100000000.76840112
3.618421052631579e-08,100000000.76308407
3.631578947368421e-08,100000000.75771487
3.6447368421052634e-08,100000000.75229388
3.6578947368421056e-08,100000000.74682148
3.671052631578947e-08,100000000.74129802
3.6842105263157894e-08,100000000.73572391
3.6973684210526316e-08,100000000.73009951
3.710526315789474e-08,100000000.72442521
3.723684210526316e-08,100000000.71870139
3.7368421052631576e-08,100000000.71292844
3.75e-08,100000000.70710678
3.763157894736842e-08,100000000.70123678
3.776315789473684e-08,100000000.69531886
3.7894736842105265e-08,100000000.6893534
3.802631578947369e-08,100000000.68334085
3.81578947368421e-08,100000000.67728157
3.8289473684210525e-08,100000000.671176
3.842105263157895e-08,100000000.66502458
3.855263157894737e-08,100000000.65882768
3.868421052631579e-08,100000000.65258576
3.881578947368421e-08,100000000.64629924
3.894736842105263e-08,100000000.63996854
3.907894736842105e-08,100000000.6335941
3.9210526315789474e-08,100000000.62717636
3.9342105263157896e-08,100000000.62071575
3.947368421052632e-08,100000000.6142127
3.9605263157894734e-08,100000000.6076677
3.9736842105263156e-08,100000000.60108115
3.986842105263158e-08,100000000.59445351
4e-08,100000000.58778526
4.013157894736842e-08,100000000.58107682
4.0263157894736845e-08,100000000.57432866
4.039473684210526e-08,100000000.56754126
4.052631578947368e-08,100000000.56071506
4.0657894736842105e-08,100000000.55385053
4.078947368421053e-08,100000000.54694816
4.092105263157895e-08,100000000.5400084
4.1052631578947365e-08,100000000.53303173
4.118421052631579e-08,100000000.52601863
4.131578947368421e-08,100000000.51896958
4.144736842105263e-08,100000000.51188505
4.1578947368421054e-08,100000000.50476554
4.1710526315789477e-08,100000000.49761152
4.184210526315789e-08,100000000.4904235
4.1973684210526314e-08,100000000.48320197
4.2105263157894737e-08,100000000.4759474
4.223684210526316e-08,100000000.4686603
4.236842105263158e-08,100000000.46134116
4.25e-08,100000000.4539905
4.263157894736842e-08,100000000.44660881
4.276315789473684e-08,100000000.43919659
4.2894736842105263e-08,100000000.43175435
4.3026315789473686e-08,100000000.42428261
4.315789473684211e-08,100000000.41678186
4.3289473684210524e-08,100000000.40925263
4.3421052631578946e-08,100000000.40169543
4.355263157894737e-08,100000000.39411077
4.368421052631579e-08,100000000.38649917
4.381578947368421e-08,100000000.37886116
4.3947368421052635e-08,100000000.37119725
4.407894736842105e-08,100000000.36350797
4.421052631578947e-08,100000000.35579385
4.4342105263157895e-08,100000000.3480554
4.447368421052632e-08,100000000.34029317
4.460526315789474e-08,100000000.33250768
4.4736842105263155e-08,100000000.32469948
4.486842105263158e-08,100000000.31686907
4.5e-08,100000000.30901699
4.513157894736842e-08,100000000.30114381
4.5263157894736844e-08,100000000.29325004
4.5394736842105266e-08,100000000.28533623
4.552631578947368e-08,100000000.27740291
4.5657894736842104e-08,100000000.26945063
4.5789473684210526e-08,100000000.26147994
4.592105263157895e-08,100000000.25349137
4.605263157894737e-08,100000000.24548548
4.618421052631579e-08,100000000.23746282
4.631578947368421e-08,100000000.22942393
4.644736842105263e-08,100000000.22136934
4.657894736842105e-08,100000000.21329963
4.6710526315789475e-08,100000000.20521533
4.68421052631579e-08,100000000.19711703
4.697368421052631e-08,100000000.18900524
4.7105263157894735e-08,100000000.18088053
4.723684210526316e-08,100000000.17274347
4.736842105263158e-08,100000000.16459459
4.75e-08,100000000.15643446
4.7631578947368424e-08,100000000.14826365
4.776315789473684e-08,100000000.1400827
4.789473684210526e-08,100000000.13189217
4.8026315789473684e-08,100000000.12369263
4.8157894736842106e-08,100000000.11548464
4.828947368421053e-08,100000000.10726875
4.8421052631578944e-08,100000000.09904553
4.8552631578947366e-08,100000000.09081554
4.868421052631579e-08,100000000.08257934
4.881578947368421e-08,100000000.07433751
4.894736842105263e-08,100000000.06609058
4.9078947368421055e-08,100000000.05783914
4.921052631578947e-08,100000000.04958375
4.934210526315789e-08,100000000.04132497
4.9473684210526315e-08,100000000.03306337
4.960526315789474e-08,100000000.02479951
4.973684210526316e-08,100000000.01653394
4.986842105263158e-08,100000000.00826725
5e-08,100000000.0
5.013157894736842e-08,99999999.99173275
5.026315789473684e-08,99999999.98346606
5.0394736842105264e-08,99999999.97520049
5.0526315789473687e-08,99999999.96693663
5.06578947368421e-08,99999999.95867503
5.0789473684210525e-08,99999999.95041625
5.092105263157895e-08,99999999.94216086
5.105263157894737e-08,99999999.93390942
5.118421052631579e-08,99999999.92566249
5.1315789473684213e-08,99999999.91742066
5.144736842105263e-08,99999999.90918446
5.157894736842105e-08,99999999.90095447
