Frequency (Hz),Power (dBm)
113961686.3,-132.3918524
114273883.6,-99.81400202
114586080.8,-137.0345373
114898278.1,-98.54190721
115210475.3,-138.1509924
115522672.6,-95.50669563
115834869.8,-129.0319738
116147067.1,-91.42345482
116459264.4,-135.3282537
116771461.6,-100.6073294
117083658.9,-136.2506933
117395856.1,-93.7203019
117708053.4,-132.149085
118020250.6,-100.2569265
118332447.9,-136.439002
118644645.1,-94.66559488
118956842.4,-137.5701513
119269039.7,-95.83791408
119581236.9,-132.6292486
119893434.2,-94.03445074
120205631.4,-132.1908331
120517828.7,-95.72592872
120830025.9,-134.1584082
121142223.2,-98.27705274
121454420.5,-132.6174078
121766617.7,-92.32126726
122078815,-137.1080236
122391012.2,-93.66268462
122703209.5,-132.8308477
123015406.7,-94.46833602
123327604,-131.5007849
123639801.2,-96.85264365
123951998.5,-133.5308294
124264195.8,-88.74054725
124576393,-130.6316595
124888590.3,-92.05600827
125200787.5,-136.362113
125512984.8,-91.77761913
125825182,-136.6150885
126137379.3,-94.63595462
126449576.5,-133.9687414
126761773.8,-90.88498724
127073971.1,-141.0316381
127386168.3,-94.18280485
127698365.6,-132.9974737
128010562.8,-90.55531339
128322760.1,-129.3736639
128634957.3,-91.0456776
128947154.6,-135.4230719
129259351.9,-92.32608905
129571549.1,-134.7537146
129883746.4,-90.48963955
130195943.6,-134.4371099
130508140.9,-91.44080409
130820338.1,-137.9936285
131132535.4,-92.06124968
131444732.6,-133.1233587
131756929.9,-94.52638842
132069127.2,-129.6840124
132381324.4,-88.71687324
132693521.7,-132.6467047
133005718.9,-89.09331522
133317916.2,-136.617713
133630113.4,-91.18436478
133942310.7,-133.9559393
134254508,-88.54830939
134566705.2,-136.3020086
134878902.5,-88.0810471
135191099.7,-137.1150122
135503297,-89.10791025
135815494.2,-138.6151648
136127691.5,-90.02967854
136439888.7,-132.4374456
136752086,-87.14520266
137064283.3,-137.3146429
137376480.5,-87.18284609
137688677.8,-132.9176702
138000875,-88.04434971
138313072.3,-130.3617315
138625269.5,-92.48793156
138937466.8,-134.7310858
139249664.1,-86.91139223
139561861.3,-132.7476416
139874058.6,-85.36597443
140186255.8,-135.5946722
140498453.1,-84.47516632
140810650.3,-128.2521734
141122847.6,-88.02075199
141435044.8,-134.8095312
141747242.1,-89.38430798
142059439.4,-127.4391012
142371636.6,-87.99846653
142683833.9,-134.0611334
142996031.1,-85.12290955
143308228.4,-142.8659124
143620425.6,-85.94187928
143932622.9,-136.3957891
144244820.2,-88.24027257
144557017.4,-135.3017187
144869214.7,-87.40857699
145181411.9,-139.8056555
145493609.2,-86.35198976
145805806.4,-138.9151678
146118003.7,-85.13150788
146430200.9,-134.5873632
146742398.2,-86.33411409
147054595.5,-137.6964025
147366792.7,-86.83853151
147678990,-130.8073492
147991187.2,-85.89511872
148303384.5,-139.9744635
148615581.7,-86.67807771
148927779,-130.0729132
149239976.2,-86.85912325
149552173.5,-131.3835669
149864370.8,-84.98896027
150176568,-133.2652502
150488765.3,-83.42967224
150800962.5,-131.9778814
151113159.8,-83.62982941
151425357,-134.1880865
151737554.3,-84.24889374
152049751.6,-131.6733923
152361948.8,-85.21264649
152674146.1,-136.851264
152986343.3,-83.73052979
153298540.6,-138.1273718
153610737.8,-84.41352844
153922935.1,-133.1895819
154235132.3,-82.18618774
154547329.6,-130.0406256
154859526.9,-84.99316407
