TIME (S),Amplitude (V)
-4.98539953e-06,1.74281250e-01
-4.98535953e-06,1.57218750e-01
-4.98531953e-06,9.85468750e-02
-4.98527953e-06,3.78750000e-02
-4.98523953e-06,6.09375000e-03
-4.98519953e-06,-8.19062500e-02
-4.98515953e-06,-1.89390625e-01
-4.98511953e-06,-1.88500000e-01
-4.98507953e-06,-1.08953125e-01
-4.98503953e-06,-3.99218750e-02
-4.98499953e-06,1.34843750e-02
-4.98495953e-06,8.43437500e-02
-4.98491953e-06,1.61765625e-01
-4.98487953e-06,1.86046875e-01
-4.98483953e-06,1.11062500e-01
-4.98479953e-06,9.43750000e-03
-4.98475953e-06,-4.11718750e-02
-4.98471953e-06,-8.88906250e-02
-4.98467953e-06,-1.56484375e-01
-4.98463953e-06,-1.86984375e-01
-4.98459953e-06,-1.29468750e-01
-4.98455953e-06,-1.60625000e-02
-4.98451953e-06,6.41875000e-02
-4.98447953e-06,1.00765625e-01
-4.98443953e-06,1.38265625e-01
-4.98439953e-06,1.68937500e-01
-4.98435953e-06,1.28171875e-01
-4.98431953e-06,1.43281250e-02
-4.98427953e-06,-8.72187500e-02
-4.98423953e-06,-1.30015625e-01
-4.98419953e-06,-1.38578125e-01
-4.98415953e-06,-1.57406250e-01
-4.98411953e-06,-1.31500000e-01
-4.98407953e-06,-1.61406250e-02
-4.98403953e-06,9.02656250e-02
-4.98399953e-06,1.35671875e-01
-4.98395953e-06,1.34937500e-01
-4.98391953e-06,1.30296875e-01
-4.98387953e-06,1.14250000e-01
-4.98383953e-06,1.66406250e-02
-4.98379953e-06,-1.01890625e-01
-4.98375953e-06,-1.64859375e-01
-4.98371953e-06,-1.56156250e-01
-4.98367953e-06,-1.17328125e-01
-4.98363953e-06,-1.00656250e-01
-4.98359953e-06,-2.35468750e-02
-4.98355953e-06,9.95468750e-02
-4.98351953e-06,1.66765625e-01
-4.98347953e-06,1.64468750e-01
-4.98343953e-06,1.08671875e-01
-4.98339953e-06,6.35312500e-02
-4.98335953e-06,1.08593750e-02
-4.98331953e-06,-9.14687500e-02
-4.98327953e-06,-1.77500000e-01
-4.98323953e-06,-1.86984375e-01
-4.98319953e-06,-1.14875000e-01
-4.98315953e-06,-4.69843750e-02
-4.98311953e-06,4.21875000e-04
-4.98307953e-06,8.56250000e-02
-4.98303953e-06,1.67984375e-01
-4.98299953e-06,1.87796875e-01
-4.98295953e-06,1.12687500e-01
-4.98291953e-06,2.29062500e-02
-4.98287953e-06,-2.32031250e-02
-4.98283953e-06,-8.86093750e-02
-4.98279953e-06,-1.58000000e-01
-4.98275953e-06,-1.90265625e-01
-4.98271953e-06,-1.28640625e-01
-4.98267953e-06,-8.70312500e-03
-4.98263953e-06,4.63750000e-02
-4.98259953e-06,8.08437500e-02
-4.98255953e-06,1.44953125e-01
-4.98251953e-06,1.83312500e-01
-4.98247953e-06,1.24781250e-01
-4.98243953e-06,3.89062500e-03
-4.98239953e-06,-7.51406250e-02
-4.98235953e-06,-1.16875000e-01
-4.98231953e-06,-1.40687500e-01
-4.98227953e-06,-1.64656250e-01
-4.98223953e-06,-1.38406250e-01
-4.98219953e-06,-1.14375000e-02
-4.98215953e-06,9.14375000e-02
-4.98211953e-06,1.26640625e-01
-4.98207953e-06,1.33656250e-01
-4.98203953e-06,1.38281250e-01
-4.98199953e-06,1.19453125e-01
-4.98195953e-06,1.17031250e-02
-4.98191953e-06,-9.80000000e-02
-4.98187953e-06,-1.51484375e-01
-4.98183953e-06,-1.52718750e-01
-4.98179953e-06,-1.18109375e-01
-4.98175953e-06,-1.06531250e-01
-4.98171953e-06,-2.81250000e-02
-4.98167953e-06,1.03828125e-01
-4.98163953e-06,1.63062500e-01
-4.98159953e-06,1.54609375e-01
-4.98155953e-06,1.11343750e-01
-4.98151953e-06,7.74375000e-02
-4.98147953e-06,1.47812500e-02
-4.98143953e-06,-9.86250000e-02
-4.98139953e-06,-1.79937500e-01
-4.98135953e-06,-1.77062500e-01
-4.98131953e-06,-1.08781250e-01
-4.98127953e-06,-6.14531250e-02
-4.98123953e-06,-6.28125000e-03
-4.98119953e-06,8.79687500e-02
-4.98115953e-06,1.60296875e-01
-4.98111953e-06,1.79921875e-01
-4.98107953e-06,1.02234375e-01
-4.98103953e-06,2.13125000e-02
-4.98099953e-06,-1.30000000e-02
-4.98095953e-06,-9.16250000e-02
-4.98091953e-06,-1.72187500e-01
-4.98087953e-06,-1.93843750e-01
-4.98083953e-06,-1.24031250e-01
-4.98079953e-06,-2.03750000e-02
-4.98075953e-06,2.83125000e-02
-4.98071953e-06,7.99375000e-02
-4.98067953e-06,1.52218750e-01
-4.98063953e-06,1.89015625e-01
-4.98059953e-06,1.25734375e-01
-4.98055953e-06,3.03125000e-03
-4.98051953e-06,-6.72031250e-02
-4.98047953e-06,-1.06671875e-01
-4.98043953e-06,-1.39421875e-01
-4.98039953e-06,-1.68265625e-01
-4.98035953e-06,-1.42718750e-01
-4.98031953e-06,-1.61250000e-02
-4.98027953e-06,8.38906250e-02
-4.98023953e-06,1.16234375e-01
-4.98019953e-06,1.33921875e-01
-4.98015953e-06,1.44406250e-01
-4.98011953e-06,1.25375000e-01
-4.98007953e-06,1.48125000e-02
-4.98003953e-06,-1.14406250e-01
-4.97999953e-06,-1.51906250e-01
-4.97995953e-06,-1.35609375e-01
-4.97991953e-06,-1.34515625e-01
-4.97987953e-06,-1.17593750e-01
-4.97983953e-06,-1.57031250e-02
-4.97979953e-06,1.02453125e-01
-4.97975953e-06,1.57437500e-01
-4.97971953e-06,1.49046875e-01
-4.97967953e-06,1.10171875e-01
-4.97963953e-06,8.35156250e-02
-4.97959953e-06,9.87500000e-03
-4.97955953e-06,-1.06781250e-01
-4.97951953e-06,-1.76796875e-01
-4.97947953e-06,-1.71500000e-01
-4.97943953e-06,-1.12640625e-01
-4.97939953e-06,-7.22343750e-02
-4.97935953e-06,-1.90625000e-02
-4.97931953e-06,9.28125000e-02
-4.97927953e-06,1.76062500e-01
-4.97923953e-06,1.68828125e-01
-4.97919953e-06,9.57968750e-02
-4.97915953e-06,3.26093750e-02
