TIME (S),Amplitude (V)
-4.98344125e-06,9.25625000e-02
-4.98340125e-06,6.88906250e-02
-4.98336125e-06,1.10625000e-02
-4.98332125e-06,3.43750000e-04
-4.98328125e-06,-5.15625000e-03
-4.98324125e-06,-2.16875000e-02
-4.98320125e-06,-2.72500000e-02
-4.98316125e-06,-2.72812500e-02
-4.98312125e-06,4.35937500e-03
-4.98308125e-06,2.71406250e-02
-4.98304125e-06,4.25000000e-02
-4.98300125e-06,8.18750000e-02
-4.98296125e-06,1.09984375e-01
-4.98292125e-06,1.31921875e-01
-4.98288125e-06,1.43140625e-01
-4.98284125e-06,1.45828125e-01
-4.98280125e-06,1.53703125e-01
-4.98276125e-06,1.23156250e-01
-4.98272125e-06,8.96875000e-02
-4.98268125e-06,7.85000000e-02
-4.98264125e-06,3.98437500e-02
-4.98260125e-06,4.07812500e-03
-4.98256125e-06,-1.14843750e-02
-4.98252125e-06,-1.91718750e-02
-4.98248125e-06,-2.04687500e-02
-4.98244125e-06,-3.16718750e-02
-4.98240125e-06,-1.63125000e-02
-4.98236125e-06,1.68437500e-02
-4.98232125e-06,3.40937500e-02
-4.98228125e-06,6.69843750e-02
-4.98224125e-06,1.02765625e-01
-4.98220125e-06,1.22046875e-01
-4.98216125e-06,1.33609375e-01
-4.98212125e-06,1.38203125e-01
-4.98208125e-06,1.44437500e-01
-4.98204125e-06,1.38796875e-01
-4.98200125e-06,1.06921875e-01
-4.98196125e-06,8.02031250e-02
-4.98192125e-06,6.53906250e-02
-4.98188125e-06,2.22812500e-02
-4.98184125e-06,-1.53281250e-02
-4.98180125e-06,-1.93125000e-02
-4.98176125e-06,-2.63906250e-02
-4.98172125e-06,-2.45156250e-02
-4.98168125e-06,-2.40000000e-02
-4.98164125e-06,-5.29687500e-03
-4.98160125e-06,4.13750000e-02
-4.98156125e-06,5.08750000e-02
-4.98152125e-06,7.66250000e-02
-4.98148125e-06,1.22421875e-01
-4.98144125e-06,1.30500000e-01
-4.98140125e-06,1.39359375e-01
-4.98136125e-06,1.43546875e-01
-4.98132125e-06,1.44656250e-01
-4.98128125e-06,1.32750000e-01
-4.98124125e-06,8.32968750e-02
-4.98120125e-06,6.29531250e-02
-4.98116125e-06,5.21562500e-02
-4.98112125e-06,4.85937500e-03
-4.98108125e-06,-1.77343750e-02
-4.98104125e-06,-1.89687500e-02
-4.98100125e-06,-2.39531250e-02
-4.98096125e-06,-2.33281250e-02
-4.98092125e-06,-1.58281250e-02
-4.98088125e-06,2.21875000e-02
-4.98084125e-06,5.32812500e-02
-4.98080125e-06,6.52812500e-02
-4.98076125e-06,1.00187500e-01
-4.98072125e-06,1.28843750e-01
-4.98068125e-06,1.43921875e-01
-4.98064125e-06,1.43281250e-01
-4.98060125e-06,1.34875000e-01
-4.98056125e-06,1.39796875e-01
-4.98052125e-06,1.07375000e-01
-4.98048125e-06,6.29843750e-02
-4.98044125e-06,4.97656250e-02
-4.98040125e-06,2.62812500e-02
-4.98036125e-06,-6.28125000e-03
-4.98032125e-06,-2.47812500e-02
-4.98028125e-06,-2.83125000e-02
-4.98024125e-06,-2.45781250e-02
-4.98020125e-06,-1.70000000e-02
-4.98016125e-06,3.70312500e-03
-4.98012125e-06,3.54687500e-02
-4.98008125e-06,6.16093750e-02
-4.98004125e-06,8.42187500e-02
-4.98000125e-06,1.17406250e-01
-4.97996125e-06,1.40734375e-01
-4.97992125e-06,1.47359375e-01
-4.97988125e-06,1.45890625e-01
-4.97984125e-06,1.34953125e-01
-4.97980125e-06,1.23765625e-01
-4.97976125e-06,8.90312500e-02
-4.97972125e-06,4.97500000e-02
-4.97968125e-06,3.65000000e-02
-4.97964125e-06,7.87500000e-03
-4.97960125e-06,-2.45781250e-02
-4.97956125e-06,-3.24375000e-02
-4.97952125e-06,-2.42500000e-02
-4.97948125e-06,-1.25468750e-02
-4.97944125e-06,-7.67187500e-03
-4.97940125e-06,1.53593750e-02
-4.97936125e-06,5.75781250e-02
-4.97932125e-06,8.43593750e-02
-4.97928125e-06,1.02890625e-01
-4.97924125e-06,1.28562500e-01
-4.97920125e-06,1.47968750e-01
-4.97916125e-06,1.55593750e-01
-4.97912125e-06,1.40359375e-01
-4.97908125e-06,1.20546875e-01
-4.97904125e-06,1.06031250e-01
-4.97900125e-06,6.15156250e-02
-4.97896125e-06,2.80468750e-02
-4.97892125e-06,1.67031250e-02
-4.97888125e-06,-7.37500000e-03
-4.97884125e-06,-2.46875000e-02
-4.97880125e-06,-3.49687500e-02
-4.97876125e-06,-1.97656250e-02
-4.97872125e-06,9.37500000e-04
-4.97868125e-06,2.93750000e-03
-4.97864125e-06,3.92187500e-02
-4.97860125e-06,8.08750000e-02
-4.97856125e-06,9.34375000e-02
-4.97852125e-06,1.13671875e-01
-4.97848125e-06,1.40703125e-01
-4.97844125e-06,1.55671875e-01
-4.97840125e-06,1.47406250e-01
-4.97836125e-06,1.23218750e-01
-4.97832125e-06,1.11875000e-01
-4.97828125e-06,8.88437500e-02
-4.97824125e-06,3.71875000e-02
-4.97820125e-06,1.58906250e-02
-4.97816125e-06,9.59375000e-03
-4.97812125e-06,-1.90625000e-02
-4.97808125e-06,-3.73906250e-02
-4.97804125e-06,-2.97968750e-02
-4.97800125e-06,-3.39062500e-03
-4.97796125e-06,5.14062500e-03
-4.97792125e-06,1.57656250e-02
-4.97788125e-06,6.31718750e-02
