TIME (S),Amplitude (V)
-4.98714453e-06,1.69671875e-01
-4.98710453e-06,1.64250000e-01
-4.98706453e-06,6.77812500e-02
-4.98702453e-06,-3.52187500e-02
-4.98698453e-06,-7.93593750e-02
-4.98694453e-06,-1.14140625e-01
-4.98690453e-06,-1.60406250e-01
-4.98686453e-06,-1.58109375e-01
-4.98682453e-06,-4.88593750e-02
-4.98678453e-06,6.12500000e-02
-4.98674453e-06,1.19984375e-01
-4.98670453e-06,1.37234375e-01
-4.98666453e-06,1.16531250e-01
-4.98662453e-06,1.19875000e-01
-4.98658453e-06,4.58750000e-02
-4.98654453e-06,-9.44218750e-02
-4.98650453e-06,-1.60468750e-01
-4.98646453e-06,-1.57187500e-01
-4.98642453e-06,-1.03343750e-01
-4.98638453e-06,-6.13750000e-02
-4.98634453e-06,-1.28750000e-02
-4.98630453e-06,9.23593750e-02
-4.98626453e-06,1.75640625e-01
-4.98622453e-06,1.68234375e-01
-4.98618453e-06,8.00312500e-02
-4.98614453e-06,2.93750000e-03
-4.98610453e-06,-4.66718750e-02
-4.98606453e-06,-1.08671875e-01
-4.98602453e-06,-1.68765625e-01
-4.98598453e-06,-1.68750000e-01
-4.98594453e-06,-6.90625000e-02
-4.98590453e-06,3.45000000e-02
-4.98586453e-06,9.34375000e-02
-4.98582453e-06,1.24359375e-01
-4.98578453e-06,1.36609375e-01
-4.98574453e-06,1.44437500e-01
-4.98570453e-06,6.25156250e-02
-4.98566453e-06,-7.72500000e-02
-4.98562453e-06,-1.50359375e-01
-4.98558453e-06,-1.50000000e-01
-4.98554453e-06,-1.16546875e-01
-4.98550453e-06,-9.43437500e-02
-4.98546453e-06,-3.13593750e-02
-4.98542453e-06,8.65156250e-02
-4.98538453e-06,1.65437500e-01
-4.98534453e-06,1.59890625e-01
-4.98530453e-06,8.75937500e-02
-4.98526453e-06,2.99375000e-02
-4.98522453e-06,-1.46562500e-02
-4.98518453e-06,-9.47500000e-02
-4.98514453e-06,-1.78265625e-01
-4.98510453e-06,-1.76859375e-01
-4.98506453e-06,-7.06562500e-02
-4.98502453e-06,9.57812500e-03
-4.98498453e-06,5.19375000e-02
-4.98494453e-06,1.09609375e-01
-4.98490453e-06,1.58437500e-01
-4.98486453e-06,1.61906250e-01
-4.98482453e-06,6.26875000e-02
-4.98478453e-06,-6.11093750e-02
-4.98474453e-06,-1.19703125e-01
-4.98470453e-06,-1.31500000e-01
-4.98466453e-06,-1.29750000e-01
-4.98462453e-06,-1.31000000e-01
-4.98458453e-06,-5.10156250e-02
-4.98454453e-06,8.25937500e-02
-4.98450453e-06,1.47671875e-01
-4.98446453e-06,1.42875000e-01
-4.98442453e-06,1.01875000e-01
-4.98438453e-06,7.11718750e-02
-4.98434453e-06,1.79531250e-02
-4.98430453e-06,-9.06093750e-02
-4.98426453e-06,-1.78234375e-01
-4.98422453e-06,-1.77921875e-01
-4.98418453e-06,-9.05468750e-02
-4.98414453e-06,-1.46875000e-02
-4.98410453e-06,2.74375000e-02
-4.98406453e-06,9.27656250e-02
-4.98402453e-06,1.64031250e-01
-4.98398453e-06,1.76078125e-01
-4.98394453e-06,7.76093750e-02
-4.98390453e-06,-3.78593750e-02
-4.98386453e-06,-8.95000000e-02
-4.98382453e-06,-1.12609375e-01
-4.98378453e-06,-1.43906250e-01
-4.98374453e-06,-1.61468750e-01
-4.98370453e-06,-7.22187500e-02
-4.98366453e-06,5.70000000e-02
-4.98362453e-06,1.26578125e-01
-4.98358453e-06,1.35937500e-01
-4.98354453e-06,1.04046875e-01
-4.98350453e-06,1.04296875e-01
-4.98346453e-06,4.62812500e-02
-4.98342453e-06,-9.43593750e-02
-4.98338453e-06,-1.71609375e-01
-4.98334453e-06,-1.67343750e-01
-4.98330453e-06,-1.04640625e-01
-4.98326453e-06,-5.29062500e-02
-4.98322453e-06,-6.90625000e-03
-4.98318453e-06,9.01093750e-02
-4.98314453e-06,1.68843750e-01
-4.98310453e-06,1.70578125e-01
-4.98306453e-06,8.05312500e-02
-4.98302453e-06,-1.38281250e-02
-4.98298453e-06,-5.57187500e-02
-4.98294453e-06,-1.02984375e-01
-4.98290453e-06,-1.61375000e-01
-4.98286453e-06,-1.74109375e-01
-4.98282453e-06,-7.72187500e-02
-4.98278453e-06,4.59062500e-02
-4.98274453e-06,1.03531250e-01
-4.98270453e-06,1.21140625e-01
-4.98266453e-06,1.30125000e-01
-4.98262453e-06,1.35000000e-01
-4.98258453e-06,5.21406250e-02
-4.98254453e-06,-8.07968750e-02
-4.98250453e-06,-1.50843750e-01
-4.98246453e-06,-1.51156250e-01
-4.98242453e-06,-1.08078125e-01
-4.98238453e-06,-8.62812500e-02
-4.98234453e-06,-2.55625000e-02
-4.98230453e-06,9.19062500e-02
-4.98226453e-06,1.64218750e-01
-4.98222453e-06,1.70078125e-01
-4.98218453e-06,8.62343750e-02
-4.98214453e-06,1.29062500e-02
-4.98210453e-06,-1.76562500e-02
-4.98206453e-06,-1.04515625e-01
-4.98202453e-06,-1.71187500e-01
-4.98198453e-06,-1.69687500e-01
-4.98194453e-06,-8.86875000e-02
-4.98190453e-06,3.07187500e-02
-4.98186453e-06,7.29375000e-02
-4.98182453e-06,9.96093750e-02
-4.98178453e-06,1.46484375e-01
-4.98174453e-06,1.49218750e-01
-4.98170453e-06,7.33750000e-02
-4.98166453e-06,-6.30468750e-02
-4.98162453e-06,-1.44187500e-01
-4.98158453e-06,-1.36468750e-01
-4.98154453e-06,-1.17515625e-01
-4.98150453e-06,-1.04171875e-01
-4.98146453e-06,-4.59218750e-02
-4.98142453e-06,7.12500000e-02
-4.98138453e-06,1.66015625e-01
-4.98134453e-06,1.61281250e-01
-4.98130453e-06,9.66875000e-02
-4.98126453e-06,5.29218750e-02
-4.98122453e-06,8.26562500e-03
-4.98118453e-06,-8.85156250e-02
-4.98114453e-06,-1.81984375e-01
-4.98110453e-06,-1.74750000e-01
-4.98106453e-06,-7.83593750e-02
-4.98102453e-06,1.01562500e-03
-4.98098453e-06,4.06406250e-02
-4.98094453e-06,8.71718750e-02
-4.98090453e-06,1.57906250e-01
-4.98086453e-06,1.75515625e-01
-4.98082453e-06,6.44062500e-02
-4.98078453e-06,-5.41093750e-02
-4.98074453e-06,-1.03484375e-01
-4.98070453e-06,-1.25187500e-01
-4.98066453e-06,-1.33390625e-01
-4.98062453e-06,-1.37125000e-01
-4.98058453e-06,-6.56406250e-02
-4.98054453e-06,6.85000000e-02
-4.98050453e-06,1.43671875e-01
-4.98046453e-06,1.39281250e-01
-4.98042453e-06,1.07906250e-01
-4.98038453e-06,8.60781250e-02
-4.98034453e-06,2.93906250e-02
-4.98030453e-06,-8.27187500e-02
-4.98026453e-06,-1.72437500e-01
-4.98022453e-06,-1.71421875e-01
-4.98018453e-06,-9.80000000e-02
-4.98014453e-06,-3.73437500e-02
-4.98010453e-06,1.31718750e-02
-4.98006453e-06,9.55312500e-02
-4.98002453e-06,1.68578125e-01
-4.97998453e-06,1.74734375e-01
-4.97994453e-06,8.36562500e-02
-4.97990453e-06,-3.17812500e-02
-4.97986453e-06,-8.19843750e-02
-4.97982453e-06,-1.07390625e-01
-4.97978453e-06,-1.54171875e-01
-4.97974453e-06,-1.59515625e-01
-4.97970453e-06,-7.20781250e-02
-4.97966453e-06,4.23437500e-02
-4.97962453e-06,1.23281250e-01
-4.97958453e-06,1.36640625e-01
-4.97954453e-06,1.14546875e-01
-4.97950453e-06,1.09921875e-01
-4.97946453e-06,3.90312500e-02
-4.97942453e-06,-8.24218750e-02
-4.97938453e-06,-1.61671875e-01
-4.97934453e-06,-1.64687500e-01
-4.97930453e-06,-9.98281250e-02
-4.97926453e-06,-5.72187500e-02
-4.97922453e-06,-1.15000000e-02
-4.97918453e-06,8.40625000e-02
-4.97914453e-06,1.73531250e-01
-4.97910453e-06,1.79453125e-01
-4.97906453e-06,7.91875000e-02
-4.97902453e-06,-4.50000000e-03
-4.97898453e-06,-4.68437500e-02
-4.97894453e-06,-1.03093750e-01
-4.97890453e-06,-1.57328125e-01
-4.97886453e-06,-1.66140625e-01
-4.97882453e-06,-6.85156250e-02
-4.97878453e-06,4.68437500e-02
-4.97874453e-06,1.02359375e-01
-4.97870453e-06,1.25578125e-01
-4.97866453e-06,1.33031250e-01
-4.97862453e-06,1.39890625e-01
-4.97858453e-06,6.10625000e-02
-4.97854453e-06,-7.66718750e-02
-4.97850453e-06,-1.50890625e-01
-4.97846453e-06,-1.51421875e-01
-4.97842453e-06,-1.08406250e-01
-4.97838453e-06,-8.53906250e-02
-4.97834453e-06,-3.12343750e-02
-4.97830453e-06,8.61250000e-02
-4.97826453e-06,1.72515625e-01
-4.97822453e-06,1.74968750e-01
-4.97818453e-06,8.85156250e-02
-4.97814453e-06,2.12656250e-02
